FALSEc,SKU1,SKU2,SKU3,SKU,Product Department,Category,Item / Service,Unit,Base Minimums,Base Cost,Target Margin Mark-Up (%),Suggested Price,Client Price,Actual Margin (%),Notes,Client Price 2026,% Increase,
TRUE,CORP_,ADDON_,RUNVENUERENT3,CORP_ ADDON_ RUNVENUERENT3,Corporate Events,Add-ons & Enhancements,Runs & Walks_ Venue Rental (Other),Flat Fee,n/a,$0.00,40%,$0.00,$0.00,#DIV/0!,,$0.00,#DIV/0!,
TRUE,CORP_,ADDON_,RUNVENUERENT1,CORP_ ADDON_ RUNVENUERENT1,Corporate Events,Add-ons & Enhancements,Runs & Walks_ Venue Rental (The Driveway),Flat Fee,n/a,"$2,500.00",40%,"$4,166.67","$3,500.00",24%,,"$4,000",14.29%,
TRUE,CORP_,ADDON_,PODIUM,CORP_ ADDON_ PODIUM,Corporate Events,Add-ons & Enhancements,Runs & Walks_ Winners Podium,Flat Fee,n/a,$50.00,40%,$83.33,$400.00,420%,,$500,25.00%,
TRUE,CORP_,WELLACTIV_,ASTROLOGY1,CORP_ WELLACTIV_ ASTROLOGY1,Corporate Events,Onsite & Offsite Activations,Astrology Readings - 1 Reader,Per Hour,2,$125.00,40%,$208.33,$225.00,48%,(4-6) Guests Per Hour,$350,55.56%,
TRUE,CORP_,WELLACTIV_,AURAPHOTO,CORP_ WELLACTIV_ AURAPHOTO,Corporate Events,Onsite & Offsite Activations,Aura Photography,Per Hour,2,"$1,000.00",40%,"$1,666.67","$1,600.00",36%,Express Service for up to 20 people per hour,"$1,920.00",20.00%,
TRUE,CORP_,WELLACTIV_,BBQBAR,CORP_ WELLACTIV_ BBQBAR,Corporate Events,Onsite & Offsite Activations,BBQ Spice Dry Rub Bar,Per Hour,2,$300.00,40%,$500.00,$550.00,50%,Up to 30 people per hour,$650,18.18%,
TRUE,CORP_,ADDON_,DRIVEWAYPP,CORP_ ADDON_ DRIVEWAYPP,Corporate Events,Add-ons & Enhancements,Runs & Walks_The Driveway Per Person Fee,Per Person,,,,,$3.00,,,$3,,
TRUE,CORP_,ADDON_,SFETOWELS,CORP_ ADDON_ SFETOWELS,Corporate Events,Add-ons & Enhancements,Swift Fit Events Sweat Towels,Per Person,n/a,$4.00,40%,$6.67,$6.00,30%,,$10,66.67%,
TRUE,CORP_,ADDON_,ULTIMATEWATER,CORP_ ADDON_ ULTIMATEWATER,Corporate Events,Add-ons & Enhancements,Ultimate Hydration Water Station,Per Person,n/a,$3.00,40%,$5.00,$4.50,30%,,$5.40,20.00%,
TRUE,CORP_,COMPETE_,SPEEDNET1,CORP_ COMPETE_ SPEEDNET1,Corporate Events,Competition & Connection,Speed Networking (up to 50 participants),Flat Fee,20,$900.00,40%,"$1,500.00","$1,500.00",40%,,"$1,800.00",20.00%,
TRUE,CORP_,COMPETE_,SPEEDNET2,CORP_ COMPETE_ SPEEDNET2,Corporate Events,Competition & Connection,Speed Networking (Per Participant over 50),Per Person,50,$18.00,40%,$30.00,$30.00,40%,,$36.00,20.00%,
TRUE,CORP_,EXCTOUR_,PLUNGE5,CORP_ EXCTOUR_ PLUNGE5,Corporate Events,Excursions & Tours,Barton Springs Hike & Plunge (10-19 participants),Per Person,10,$25.00,40%,$41.67,$60.00,84%,Includes Entry Fees to Park,$70.00,16.67%,
TRUE,CORP_,EXCTOUR_,PLUNGE6,CORP_ EXCTOUR_ PLUNGE6,Corporate Events,Excursions & Tours,Barton Springs Hike & Plunge (20-29 participants),Per Person,20,$22.00,40%,$36.67,$55.00,90%,Includes Entry Fees to Park,$65.00,18.18%,
TRUE,CORP_,EXCTOUR_,PLUNGE7,CORP_ EXCTOUR_ PLUNGE7,Corporate Events,Excursions & Tours,Barton Springs Hike & Plunge (30-39 participants),Per Person,30,$20.00,40%,$33.33,$50.00,90%,Includes Entry Fees to Park,$60.00,20.00%,
TRUE,CORP_,EXCTOUR_,PLUNGE8,CORP_ EXCTOUR_ PLUNGE8,Corporate Events,Excursions & Tours,Barton Springs Hike & Plunge (40-50 participants),Per Person,40,$18.00,40%,$30.00,$45.00,90%,Includes Entry Fees to Park,$55.00,22.22%,
TRUE,CORP_,EXCTOUR_,PLUNGE1,CORP_ EXCTOUR_ PLUNGE1,Corporate Events,Excursions & Tours,Barton Springs Wellness Plunge (10-19 participants),Per Person,10,$18.00,40%,$30.00,$45.00,90%,Includes Entry Fees to Park,$55.00,22.22%,
TRUE,CORP_,EXCTOUR_,PLUNGE2,CORP_ EXCTOUR_ PLUNGE2,Corporate Events,Excursions & Tours,Barton Springs Wellness Plunge (20-29 participants),Per Person,20,$15.00,40%,$25.00,$40.00,100%,Includes Entry Fees to Park,$50.00,25.00%,
TRUE,CORP_,EXCTOUR_,PLUNGE3,CORP_ EXCTOUR_ PLUNGE3,Corporate Events,Excursions & Tours,Barton Springs Wellness Plunge (30-39 participants),Per Person,30,$12.00,40%,$20.00,$35.00,115%,Includes Entry Fees to Park,$45.00,28.57%,
TRUE,CORP_,EXCTOUR_,PLUNGE4,CORP_ EXCTOUR_ PLUNGE4,Corporate Events,Excursions & Tours,Barton Springs Wellness Plunge (40-50 participants),Per Person,40,$10.00,40%,$16.67,$30.00,120%,Includes Entry Fees to Park,$40.00,33.33%,
TRUE,CORP_,ADDON_,BIKETRANSPORT,CORP_ ADDON_ BIKETRANSPORT,Corporate Events,Excursions & Tours,Bike Tour _ Bike Transportation Service,Flat Fee,n/a,$10.00,40%,$16.67,$25.00,90%,based on quote from BSBR,$0.00,#REF!,
TRUE,CORP_,ADDON_,BIKESTORAGE,CORP_ ADDON_ BIKESTORAGE,Corporate Events,Excursions & Tours,Bike Tour _ Overnight Rental / Storage Service,Flat Fee,n/a,$0.00,40%,$0.00,$0.00,#DIV/0!,based on quote from BSBR,$0.00,#DIV/0!,
TRUE,CORP_,EXCTOUR_,EBIKE,CORP_ EXCTOUR_ EBIKE,Corporate Events,Excursions & Tours,Electric Bike Tour,Per Person,10,$73.00,40%,$121.67,$130.00,47%,,$142.00,9.23%,
