FALSEc,SKU1,SKU2,SKU3,SKU,Product Department,Category,Item / Service,Unit,Base Minimums,Base Cost,Target Margin Mark-Up (%),Suggested Price,Client Price,Actual Margin (%),Notes,Client Price 2026,% Increase,
TRUE,CORP_,WELLACTIV_,COMPRESS,CORP_ WELLACTIV_ COMPRESS,Corporate Events,Onsite & Offsite Activations,Compression Therapy Chairs,Per Hour,2,$50.00,40%,$83.33,$250.00,240%,up to 15 people per hour,$350,40.00%,
TRUE,CORP_,WELLACTIV_,CRYSAL,CORP_ WELLACTIV_ CRYSAL,Corporate Events,Onsite & Offsite Activations,Crystal & Energy Cleansing Booth,Per Hour,2,$250.00,40%,$416.67,$450.00,48%,Up to 30 people per hour,$550,22.22%,
TRUE,CORP_,WELLACTIV_,EARSEED,CORP_ WELLACTIV_ EARSEED,Corporate Events,Onsite & Offsite Activations,Ear Seeding Acupressure,Per Hour,2,$150.00,40%,$250.00,$250.00,40%,Up to 15 participants per hour,$350,40.00%,
TRUE,CORP_,WELLACTIV_,EOBLENDBAR,CORP_ WELLACTIV_ EOBLENDBAR,Corporate Events,Onsite & Offsite Activations,Essential Oil Blending Bar,Per Hour,2,$180.00,40%,$300.00,$400.00,73%,Up to 35 people per hour; Option between personal roller bottles or hanging diffusers,$550,37.50%,
TRUE,CORP_,WELLACTIV_,HANDMASS1,CORP_ WELLACTIV_ HANDMASS1,Corporate Events,Onsite & Offsite Activations,Express Hand Massage - 1 Station,Per Hour,2,$150.00,40%,$250.00,$250.00,40%,7-10 people per hour per station (5-7 minute hand massage w/ 1-2 transition),$300.00,20.00%,
TRUE,CORP_,WELLACTIV_,HANDMASS2,CORP_ WELLACTIV_ HANDMASS2,Corporate Events,Onsite & Offsite Activations,Express Hand Massage - 2 Stations,Per Hour,2,$300.00,40%,$500.00,$500.00,40%,7-10 people per hour per station (5-7 minute hand massage w/ 1-2 transition),$600.00,20.00%,
TRUE,CORP_,WELLACTIV_,HANDMASS3,CORP_ WELLACTIV_ HANDMASS3,Corporate Events,Onsite & Offsite Activations,Express Hand Massage - 3 Stations,Per Hour,2,$450.00,40%,$750.00,$750.00,40%,7-10 people per hour per station (5-7 minute hand massage w/ 1-2 transition),$900.00,20.00%,
TRUE,CORP_,WELLACTIV_,HANDMASS4,CORP_ WELLACTIV_ HANDMASS4,Corporate Events,Onsite & Offsite Activations,Express Hand Massage - 4 Stations,Per Hour,2,$600.00,40%,"$1,000.00","$1,000.00",40%,7-10 people per hour per station (5-7 minute hand massage w/ 1-2 transition),"$1,200.00",20.00%,
TRUE,CORP_,WELLACTIV_,TEABAR,CORP_ WELLACTIV_ TEABAR,Corporate Events,Onsite & Offsite Activations,Herbal Tea Blending Bar,Per Hour,2,$350.00,40%,$583.33,$600.00,43%,Up to 30 people per hour; 2 Hour Min,$700,16.67%,
TRUE,CORP_,WELLACTIV_,IVSERVICE,CORP_ WELLACTIV_ IVSERVICE,Corporate Events,Onsite & Offsite Activations,IV Hydration Drip Service,Per Hour,2,$125.00,40%,$208.33,$200.00,36%,*does not include actual drips only includes the service and nurse fees,$500,150.00%,
TRUE,CORP_,WELLACTIV_,IVDRIP,CORP_ WELLACTIV_ IVDRIP,Corporate Events,Onsite & Offsite Activations,IV Hydration Drips (Per Drip),Per Person,10,$75.00,40%,$125.00,$150.00,60%,*Must be paired with the IV Hydration Drip Service Charge per hour (2 hr min) - 8 Drip Min -  *Pricing based on Nova Vita Basic Infusion Pricing @$75 per bag,$180.00,20.00%,
TRUE,CORP_,WELLACTIV_,LIPSCRUBBAR,CORP_ WELLACTIV_ LIPSCRUBBAR,Corporate Events,Onsite & Offsite Activations,Lip Scrub Making Bar,Per Hour,2,$225.00,40%,$375.00,$450.00,60%,Up to 30 people per hour,$600,33.33%,
TRUE,CORP_,WELLACTIV_,MOCKTAILS1,CORP_ WELLACTIV_ MOCKTAILS1,Corporate Events,Onsite & Offsite Activations,Mocktail Pop-Up Bar_(1-50 People),Flat Fee,10,$400.00,40%,$666.67,$600.00,30%,*Must include service Charge with This Option,$700.00,16.67%,
TRUE,CORP_,WELLACTIV_,MOCKTAILS3,CORP_ WELLACTIV_ MOCKTAILS3,Corporate Events,Onsite & Offsite Activations,Mocktail Pop-Up Bar_Per Person (101-200),Per Person,10,$10.00,40%,$16.67,$17.00,42%,*Must include service Charge with This Option,$20.40,20.00%,
TRUE,CORP_,WELLACTIV_,MOCKTAILS4,CORP_ WELLACTIV_ MOCKTAILS4,Corporate Events,Onsite & Offsite Activations,Mocktail Pop-Up Bar_Per Person (200+),Per Person,10,$12.00,40%,$20.00,$20.00,40%,*Must include service Charge with This Option,$24.00,20.00%,
TRUE,CORP_,WELLACTIV_,MOCKTAILS2,CORP_ WELLACTIV_ MOCKTAILS2,Corporate Events,Onsite & Offsite Activations,Mocktail Pop-Up Bar_Per Person (51-100),Per Person,10,$8.00,40%,$13.33,$14.00,45%,*Must include service Charge with This Option,$16.80,20.00%,
TRUE,CORP_,WELLACTIV_,MOCKTAILSERVICE3,CORP_ WELLACTIV_ MOCKTAILSERVICE3,Corporate Events,Onsite & Offsite Activations,Mocktail Pop-Up Bar_Service Charge (120+ guests),Per Hour,2,$125.00,40%,$208.33,$215.00,43%,4 bartenders + materials (drinks not included) - 4 hour max,$250.00,16.28%,
TRUE,CORP_,WELLACTIV_,MOCKTAILSERVICE2,CORP_ WELLACTIV_ MOCKTAILSERVICE2,Corporate Events,Onsite & Offsite Activations,Mocktail Pop-Up Bar_Service Charge (61-120 guests),Per Hour,2,$87.50,40%,$145.83,$150.00,43%,3 bartenders + materials (drinks not included) - 4 hour max,$180.00,20.00%,
TRUE,CORP_,WELLACTIV_,MOCKTAILSERVICE1,CORP_ WELLACTIV_ MOCKTAILSERVICE1,Corporate Events,Onsite & Offsite Activations,Mocktail Pop-Up Bar_Service Charge (up to 60 guests),Per Hour,2,$50.00,40%,$83.33,$125.00,90%,1-2 bar tender + materials (drinks not included) - 4 hour max,$150.00,20.00%,
TRUE,CORP_,WELLACTIV_,TAROT1,CORP_ WELLACTIV_ TAROT1,Corporate Events,Onsite & Offsite Activations,Tarot Card Readings - 1 Reader,Per Hour,2,$125.00,40%,$208.33,$225.00,48%,Up to (15) 1-Card Pulls Per Hour; Up to (6) 3- Card Pulls per hour,$350,55.56%,
TRUE,CORP_,WELLACTIV_,MOODBAR4,CORP_ WELLACTIV_ MOODBAR4,Corporate Events,Onsite & Offsite Activations,The Mood Bar by Swift (101-120 guests),Per Hour,2 Hour Min,$700.00,40%,"$1,166.67","$1,250.00",47%,Unlimited Drink Service - 4 hour max,"$1,500.00",20.00%,*50% off for set up & IP Only (With contract agreement)
TRUE,CORP_,WELLACTIV_,MOODBAR5,CORP_ WELLACTIV_ MOODBAR5,Corporate Events,Onsite & Offsite Activations,The Mood Bar by Swift (121-150 guests),Per Hour,2 Hour Min,$875.00,40%,"$1,458.33","$1,500.00",43%,Unlimited Drink Service - 4 hour max,"$1,800.00",20.00%,*50% off for set up & IP Only (With contract agreement)
TRUE,CORP_,WELLACTIV_,MOODBAR2,CORP_ WELLACTIV_ MOODBAR2,Corporate Events,Onsite & Offsite Activations,The Mood Bar by Swift (51-75 guests),Per Hour,2 Hour Min,$400.00,40%,$666.67,$750.00,53%,Unlimited Drink Service - 4 hour max,$900.00,20.00%,*50% off for set up & IP Only (With contract agreement)
TRUE,CORP_,WELLACTIV_,MOODBAR3,CORP_ WELLACTIV_ MOODBAR3,Corporate Events,Onsite & Offsite Activations,The Mood Bar by Swift (76-100 guests),Per Hour,2 Hour Min,$500.00,40%,$833.33,$950.00,54%,Unlimited Drink Service - 4 hour max,"$1,140.00",20.00%,*50% off for set up & IP Only (With contract agreement)
TRUE,CORP_,WELLACTIV_,MOODBAR1,CORP_ WELLACTIV_ MOODBAR1,Corporate Events,Onsite & Offsite Activations,The Mood Bar by Swift (up to 50 guests),Per Hour,2 Hour Min,$250.00,40%,$416.67,$500.00,60%,Unlimited Drink Service - 4 hour max,$600.00,20.00%,*50% off for set up & IP Only (With contract agreement)
TRUE,CORP_,WELLACTIV_,VITSHOTSERVICE,CORP_ WELLACTIV_ VITSHOTSERVICE,Corporate Events,Onsite & Offsite Activations,Vitamin / B12 Shot Service,Per Hour,2,$125.00,40%,$208.33,$200.00,36%,*does not include actual injections only includes the service and nurse fees,$300,50.00%,
TRUE,CORP_,WELLACTIV_,VITSHOT,CORP_ WELLACTIV_ VITSHOT,Corporate Events,Onsite & Offsite Activations,Vitamin / B12 Shots (Per Shot),Per Person,n/a,$25.00,40%,$41.67,$40.00,36%,*Must be paired with the Service Charge per hour (2 hr min) - 10 shot Min -  *Pricing based on Nova Vita Basic Infusion Pricing @$25 per shot and can be scaled if needed using their pricing,$45,12.50%,
TRUE,CORP_,MOVE_,GFCLASSA1,CORP_ MOVE_ GFCLASSA1,Corporate Events,Onsite & Offsite Movement,Group Fit Class (10-19 participants),Per Person,10,$22.50,40%,$37.50,$37.50,40%,,$50.00,33.33%,
TRUE,CORP_,MOVE_,GFCLASSA2,CORP_ MOVE_ GFCLASSA2,Corporate Events,Onsite & Offsite Movement,Group Fit Class (20-49 participants),Per Person,20,$16.00,40%,$26.67,$30.00,53%,,$45.00,50.00%,
TRUE,CORP_,MOVE_,GFCLASSA3,CORP_ MOVE_ GFCLASSA3,Corporate Events,Onsite & Offsite Movement,Group Fit Class (50-99 participants),Per Person,50,$8.50,40%,$14.17,$25.00,116%,,$40.00,60.00%,
TRUE,CORP_,MOVE_,GFCLASSA4,CORP_ MOVE_ GFCLASSA4,Corporate Events,Onsite & Offsite Movement,Group Fit Class (100-199 participants),Per Person,100,$6.00,40%,$10.00,$20.00,140%,,$37.00,85.00%,
TRUE,CORP_,MOVE_,GFCLASSA5,CORP_ MOVE_ GFCLASSA5,Corporate Events,Onsite & Offsite Movement,Group Fit Class (200+ participants),Per Person,200,$4.00,40%,$6.67,$15.00,165%,,$27.00,80.00%,
TRUE,CORP_,MOVE_,GFCLASSB1,CORP_ MOVE_ GFCLASSB1,Corporate Events,Onsite & Offsite Movement,Group Fit Class (up to 25 participants),Flat Fee,10,$255.00,40%,$425.00,$425.00,40%,,"$1,125.00",164.71%,
TRUE,CORP_,MOVE_,GFCLASSB2,CORP_ MOVE_ GFCLASSB2,Corporate Events,Onsite & Offsite Movement,Group Fit Class (up to 50 participants),Flat Fee,26,$375.00,40%,$625.00,$625.00,40%,,"$2,000.00",220.00%,
TRUE,CORP_,MOVE_,GFCLASSB3,CORP_ MOVE_ GFCLASSB3,Corporate Events,Onsite & Offsite Movement,Group Fit Class (up to 100 participants),Flat Fee,51,$505.00,40%,$841.67,$850.00,41%,,"$3,500.00",311.76%,
TRUE,CORP_,MOVE_,WELLBREAK,CORP_ MOVE_ WELLBREAK,Corporate Events,Onsite & Offsite Movement,Conference Wellness Break (10-30min),Flat Fee,n/a,$150.00,40%,$250.00,$300.00,60%,"For In-Between Meetings/Sessions Stretch Break, Guided Breathwork Break, etc. (15-30mins)",$450,50.00%,
TRUE,CORP_,MOVE_,LINEDANCE1,CORP_ MOVE_ LINEDANCE1,Corporate Events,Onsite & Offsite Movement,Line Dancing / Two-Step Class (Up to 25),Flat Fee,n/a,$450.00,40%,$750.00,$750.00,40%,Serves up to 25 Participants,"$1,000.00",33.33%,
TRUE,CORP_,MOVE_,LINEDANCE2,CORP_ MOVE_ LINEDANCE2,Corporate Events,Onsite & Offsite Movement,Line Dancing / Two-Step Class (Additional Participants over 25),Per Person,26,$550.00,40%,$916.67,$950.00,44%,Any Additional Participants between 26-50,$25,-97.37%,*Per Person after 25
TRUE,CORP_,MOVE_,MATRENTAL,CORP_ MOVE_ MATRENTAL,Corporate Events,Onsite & Offsite Movement,Yoga Mat Rental,Per Person,n/a,$0.00,40%,$0.00,$5.00,#DIV/0!,Per Mat ,$6.00,20.00%,
TRUE,CORP_,MOVE_,BLOCKRENTAL,CORP_ MOVE_ BLOCKRENTAL,Corporate Events,Onsite & Offsite Movement,Yoga Block Rental,Per Person,n/a,$0.00,40%,$0.00,$2.50,#DIV/0!,Per Block,$3.00,20.00%,
TRUE,CORP_,WKSHP_,EOBLEND,CORP_ WKSHP_ EOBLEND,Corporate Events,Workshops & Masterclasses,Essential Oil Masterclass,Flat Fee,n/a,$750.00,40%,"$1,250.00","$1,500.00",60%,60 Mins; up to 50 participants (Price can vary depending on participant & duration),"$2,400.00",60.00%,
TRUE,CORP_,WKSHP_,GUASHA,CORP_ WKSHP_ GUASHA,Corporate Events,Workshops & Masterclasses,Gua Sha & Facial Skin Care Masterclass,Flat Fee,n/a,$750.00,40%,"$1,250.00","$1,500.00",60%,60 Mins; up to 20 participants (Price can vary depending on participant & duration),"$2,400.00",60.00%,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
FALSE,,,,,,,,,,,,,,,,$0.00,#DIV/0!,
